"Husholdningers forbrug på dansk område (11 grp) efter sæsonkorrigering,"
"prisenhed, formål og tid"

" ";" ";" ";"1995K1";"1995K2";"1995K3";"1995K4";"1996K1";"1996K2";"1996K3";"1996K4";"1997K1";"1997K2";"1997K3";"1997K4";"1998K1";"1998K2";"1998K3";"1998K4";"1999K1";"1999K2";"1999K3";"1999K4";"2000K1";"2000K2";"2000K3";"2000K4";"2001K1";"2001K2";"2001K3";"2001K4";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4";"2010K1";"2010K2";"2010K3";"2010K4";"2011K1";"2011K2";"2011K3";"2011K4";"2012K1";"2012K2";"2012K3";"2012K4";"2013K1";"2013K2";"2013K3";"2013K4";"2014K1";"2014K2";"2014K3";"2014K4";"2015K1";"2015K2";"2015K3";"2015K4";"2016K1";"2016K2";"2016K3";"2016K4";"2017K1";"2017K2";"2017K3";"2017K4";"2018K1";"2018K2";"2018K3";"2018K4";"2019K1";"2019K2";"2019K3";"2019K4";"2020K1";"2020K2";"2020K3";"2020K4";"2021K1";"2021K2";"2021K3";"2021K4";"2022K1";"2022K2";"2022K3";"2022K4";"2023K1";"2023K2"
"Sæsonkorrigeret"
" ";"2010-priser, kædede værdier"
" ";" ";"Køb af køretøjer";7502;7359;7758;7603;8007;8323;8059;8896;9027;9764;7307;8674;9535;9779;9464;8888;9205;8172;8038;7983;7304;6838;6917;6659;6424;6714;6706;6245;7149;7239;7445;7931;5685;5811;6341;6719;7216;8028;8820;10293;9872;10372;10862;10399;11078;12600;11613;11650;11819;11150;11607;11677;11112;10525;9954;6768;6497;6833;6824;6526;6624;6728;7169;7780;7708;7513;7136;7145;7203;7071;8456;7687;7835;8086;8364;8720;8997;8573;8455;8657;8782;8916;9755;9532;9381;9574;9692;9876;10192;10489;8319;11273;12317;11982;10981;10400;14027;11184;11797;12098;12030;9441;13878;14234;11594;12604;12486;13016;9241;9647;10469;11368;12920;13372
" ";" ";"Anden transport og kommunikation";15914;15929;15447;15515;15973;16010;16237;15988;16460;16832;16366;16943;16016;16083;16878;16907;16324;17084;17701;17782;17894;17871;18073;18328;18201;18100;17895;17761;18537;18004;17917;18072;18135;18535;18613;18803;19290;19233;19585;19620;19619;19746;19872;19868;19667;19628;19321;19795;20354;20247;20507;21404;21264;21317;21083;20971;20612;20474;20400;19483;20332;20843;21058;19948;19663;20437;20930;21508;21108;21733;20516;20604;21191;21587;21584;22181;22198;21898;22014;22289;23105;22504;22722;22796;22974;23607;24242;24686;24982;24028;24585;24697;25449;26318;26150;25867;26036;26301;26145;25708;25925;21765;22126;22232;21970;22278;23705;23486;23132;23494;23560;23569;25060;25288
" ";" ";"Fritidsudstyr, underholdning og rejser";14018;14314;14782;15046;15531;15650;15680;15711;16150;16809;16684;17026;16652;16643;17205;17509;17455;17372;18033;18228;18521;18347;18135;18062;18398;18506;18255;18066;18172;18291;18545;18478;18827;19319;19581;20045;20587;20766;21141;21477;21572;22204;23318;23298;23467;23757;23468;24157;24204;24214;24810;24901;25135;25314;24847;23602;22646;22670;23529;23858;23383;22773;22885;23067;23168;23844;24389;24255;25449;25516;25178;24928;25237;25523;25636;25710;26158;26561;26754;26906;27848;28135;28777;29416;30104;29944;30254;30592;31017;31812;32113;32067;32624;32769;33053;33232;33093;33470;33709;33976;33402;28474;27437;32108;30289;30272;33587;35582;36287;36288;35902;35123;34935;34883
" ";" ";"Andre varer og tjenester";29845;29902;29856;29918;29854;29499;29477;29804;29810;30573;31000;31589;32349;32328;32425;32777;32364;32590;33208;32523;33201;33561;33903;34238;32807;33526;33603;34286;34565;33960;34256;33954;34596;34714;34760;35530;36305;35701;36327;37527;36948;38914;39512;39359;39553;40691;40620;40232;39868;40826;40132;42572;43971;43503;42298;40078;39799;40690;39934;39780;38437;39294;38708;39612;39572;39948;39576;38615;37983;38191;37884;38189;37718;37018;36916;37121;37097;37334;37721;37751;37517;37333;37515;37739;38052;38832;38479;38726;39290;39751;39697;40351;40538;41394;40870;40579;41620;42016;42002;42882;40351;34083;40644;38749;35848;40588;45440;46374;45715;46197;45470;44843;45400;45288

"Kædede værdier er ikke direkte additive. Ved kædede værdier kan man "
"ikke danne totaler ved simpel sammenlægning af delkomponenter. Det er "
"nødvendigt at bruge en særlig formel, som beskrevet på "
"https://www.dst.dk/ext/national/NR-DOK. "

